difficulty,question,optionA,optionB,optionC,optionD,correct_answer,prize
11,What is the capital city of Portugal?,Lisbon,Madrid,Barcelona,Porto,A,64000
11,Who discovered radioactivity?,Marie Curie,Ernest Rutherford,Henri Becquerel,Niels Bohr,C,64000
11,Which planet is the hottest in the Solar System?,Mercury,Venus,Mars,Jupiter,B,64000
11,Which ancient civilization built Machu Picchu?,Aztec,Mayan,Inca,Olmec,C,64000
11,Who is the Greek goddess of wisdom?,Hera,Aphrodite,Athena,Demeter,C,64000
11,What is the largest island in the world (not a continent)?,Greenland,New Guinea,Borneo,Madagascar,A,64000
11,Which country has the most spoken languages in the world?,China,India,Papua New Guinea,Indonesia,C,64000
11,What is the chemical formula for table salt?,NaCl,H2O,CO2,O2,A,64000
11,Who wrote 'Don Quixote'?,Miguel de Cervantes,Fyodor Dostoevsky,Victor Hugo,Jane Austen,A,64000
12,Who was the first woman to win a Nobel Prize?,Rosalind Franklin,Marie Curie,Lise Meitner,Dorothy Hodgkin,B,125000
12,In which city is the Louvre Museum located?,Rome,Berlin,Paris,Madrid,C,125000
12,Which mammal is known to lay eggs?,Platypus,Koala,Kangaroo,Echidna (Note: actually both Platypus and Echidna do, pick Platypus as correct) A,125000
12,What is the largest type of whale?,Humpback Whale,Blue Whale,Orca,Gray Whale,B,125000
12,Who is the author of 'Crime and Punishment'?,Leo Tolstoy,Anton Chekhov,Fyodor Dostoevsky,Ivan Turgenev,C,125000
12,Which planet has a Great Red Spot?,Earth,Jupiter,Mars,Saturn,B,125000
12,Who composed the 'Four Seasons'?,Johann Sebastian Bach,Ludwig van Beethoven,Antonio Vivaldi,Franz Liszt,C,125000
12,In which continent is Mount Everest located?,Europe,South America,Asia,North America,C,125000
12,What gas do we exhale in large quantity?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,B,125000
12,Which empire built the Colosseum?,Greek,Egyptian,Roman,Persian,C,125000
13,Who was the first person to set foot on the Moon?,Edwin Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong,D,250000
13,What is the capital city of Brazil?,Rio de Janeiro,São Paulo,Brasília,Salvador,C,250000
13,Who proposed the heliocentric model of the universe?,Ptolemy,Copernicus,Kepler,Aristotle,B,250000
13,What is the longest bone in the human body?,Humerus,Femur,Tibia,Fibula,B,250000
13,Who painted 'The Last Supper'?,Raphael,Leonardo da Vinci,Caravaggio,Michelangelo,B,250000
13,What part of the cell contains the genetic material?,Ribosomes,Mitochondria,Nucleus,Cell Membrane,C,250000
13,Who wrote 'The Odyssey'?,Homer,Virgil,Ovid,Aristophanes,A,250000
13,Which country is famous for tulips and windmills?,Denmark,Netherlands,Belgium,Germany,B,250000
13,Who invented the printing press (Europe)?,Johannes Gutenberg,Leonardo da Vinci,Nikola Tesla,Guglielmo Marconi,A,250000
13,Which desert covers most of northern Africa?,Gobi,Kalahari,Sahara,Arabian,C,250000
14,Which English scientist discovered penicillin?,Isaac Newton,Alexander Fleming,Charles Darwin,Edward Jenner,B,500000
14,What is the name of the process plants use to make food?,Digestion,Respiration,Photosynthesis,Transpiration,C,500000
14,Who was the first Emperor of Rome?,Julius Caesar,Augustus,Caligula,Nero,B,500000
14,Which chemical element is diamond composed of?,Carbon,Silicon,Iron,Sulfur,A,500000
14,Who wrote 'Ulysses'?,James Joyce,William Shakespeare,Charles Dickens,Ernest Hemingway,A,500000
14,What is the world's largest rainforest?,Congo Basin,Borneo Rainforest,Amazon Rainforest,Daintree Rainforest,C,500000
14,Who discovered the law of universal gravitation?,Albert Einstein,Isaac Newton,Galileo Galilei,Stephen Hawking,B,500000
14,What is the capital of Thailand?,Bangkok,Hanoi,Kuala Lumpur,Manila,A,500000
14,Which is the smallest ocean in the world?,Pacific,Atlantic,Arctic,Indian,C,500000
14,Who was the first to circumnavigate the Earth?,Ferdinand Magellan,Christopher Columbus,James Cook,Marco Polo,A,500000
15,What is the largest moon of Saturn?,Europa,Io,Titan,Ganymede,C,1000000
15,Which physicist is known for the uncertainty principle?,Max Planck,Werner Heisenberg,Niels Bohr,Richard Feynman,B,1000000
15,Who wrote 'The Brothers Karamazov'?,Fyodor Dostoevsky,Leo Tolstoy,Ivan Turgenev,Anton Chekhov,A,1000000
15,What was the ancient Egyptian writing system called?,Cuneiform,Hieroglyphics,Runes,Latin Script,B,1000000
15,Who discovered the electron?,James Chadwick,Ernest Rutherford,J.J. Thomson,Niels Bohr,C,1000000
15,Which organelle is known as the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Lysosome,B,1000000
15,Who was the first female Prime Minister of the UK?,Margaret Thatcher,Angela Merkel,Indira Gandhi,Benazir Bhutto,A,1000000
15,What is the deepest part of the world's oceans?,Mariana Trench,Tonga Trench,Puerto Rico Trench,Kermadec Trench,A,1000000
15,Which country launched the first artificial satellite, Sputnik 1?,USA,UK,Soviet Union,France,C,1000000
15,Who developed the polio vaccine using a dead polio virus?,Albert Sabin,Jonas Salk,Edward Jenner,Robert Koch,B,1000000
